Time (EpSec),x (km),y (km),z (km),vx (km/sec),vy (km/sec),vz (km/sec)
32.3,4189.652356,-3958.275784,2921.803414,0.188044,-1.74357,3.082362
32.4,4189.671129,-3958.450112,2922.111629,0.187426,-1.742985,3.081931
32.5,4189.689841,-3958.624381,2922.4198,0.186807,-1.7424,3.081499
32.6,4189.708491,-3958.798592,2922.727928,0.186188,-1.741816,3.081068
32.7,4189.727079,-3958.972744,2923.036014,0.185569,-1.741231,3.080636
32.8,4189.745605,-3959.146838,2923.344056,0.184951,-1.740647,3.080204
32.9,4189.764069,-3959.320873,2923.652054,0.184332,-1.740062,3.079773
33,4189.782471,-3959.49485,2923.96001,0.183714,-1.739478,3.079341
33.1,4189.800812,-3959.668769,2924.267923,0.183096,-1.738893,3.07891
33.2,4189.81909,-3959.842629,2924.575792,0.182477,-1.738309,3.078478
33.3,4189.837307,-3960.016431,2924.883618,0.181859,-1.737725,3.078047
33.4,4189.855462,-3960.190174,2925.191401,0.181241,-1.737141,3.077615
33.5,4189.873555,-3960.363859,2925.499141,0.180623,-1.736556,3.077184
33.6,4189.891587,-3960.537485,2925.806838,0.180005,-1.735972,3.076752
33.7,4189.909556,-3960.711053,2926.114492,0.179387,-1.735388,3.076321
33.8,4189.927464,-3960.884563,2926.422102,0.178769,-1.734804,3.075889
33.9,4189.94531,-3961.058014,2926.72967,0.178151,-1.73422,3.075458
34,4189.963094,-3961.231407,2927.037194,0.177534,-1.733636,3.075026
34.1,4189.980817,-3961.404741,2927.344675,0.176916,-1.733052,3.074595
34.2,4189.998478,-3961.578017,2927.652113,0.176299,-1.732468,3.074163
34.3,4190.016077,-3961.751235,2927.959507,0.175681,-1.731884,3.073732
34.4,4190.033614,-3961.924394,2928.266859,0.175064,-1.731301,3.0733
34.5,4190.051089,-3962.097495,2928.574167,0.174446,-1.730717,3.072869
34.6,4190.068503,-3962.270538,2928.881433,0.173829,-1.730133,3.072437
34.7,4190.085855,-3962.443522,2929.188655,0.173212,-1.72955,3.072006
34.8,4190.103145,-3962.616448,2929.495834,0.172595,-1.728966,3.071574
34.9,4190.120374,-3962.789315,2929.80297,0.171978,-1.728382,3.071143
35,4190.137541,-3962.962124,2930.110062,0.171361,-1.727799,3.070711
35.1,4190.154646,-3963.134875,2930.417112,0.170744,-1.727215,3.07028
35.2,4190.17169,-3963.307567,2930.724118,0.170127,-1.726632,3.069849
35.3,4190.188672,-3963.480201,2931.031082,0.16951,-1.726048,3.069417
35.4,4190.205592,-3963.652777,2931.338002,0.168893,-1.725465,3.068986
35.5,4190.22245,-3963.825294,2931.644879,0.168277,-1.724882,3.068554
